"ADMIN_DATE","MVX","Daily_Count"
2021-08-10,MOD,211
2021-08-10,PFR,759
2021-08-11,JSN,87
2021-08-11,MOD,264
2021-08-11,PFR,797
2021-08-12,JSN,115
2021-08-12,MOD,234
2021-08-12,PFR,873
2021-08-13,JSN,95
2021-08-13,MOD,353
2021-08-13,PFR,1047
2021-08-14,JSN,21
2021-08-14,MOD,144
2021-08-14,PFR,553
2021-08-15,JSN,8
2021-08-15,MOD,98
2021-08-15,PFR,257
2021-08-16,JSN,78
2021-08-16,MOD,279
2021-08-16,PFR,868
2021-08-17,JSN,79
2021-08-17,MOD,330
2021-08-17,PFR,863
2021-08-18,JSN,56
2021-08-18,MOD,407
2021-08-18,PFR,971
2021-08-19,ASZ,1
2021-08-19,JSN,82
2021-08-19,MOD,417
2021-08-19,PFR,906
2021-08-20,JSN,131
2021-08-20,MOD,549
2021-08-20,PFR,1229
2021-08-21,JSN,27
2021-08-21,MOD,150
2021-08-21,PFR,609
2021-08-22,JSN,10
2021-08-22,MOD,110
2021-08-22,PFR,320
2021-08-23,JSN,101
2021-08-23,MOD,353
2021-08-23,PFR,1058
2021-08-24,JSN,120
2021-08-24,MOD,335
2021-08-24,PFR,1007
2021-08-25,JSN,80
2021-08-25,MOD,431
2021-08-25,PFR,1213
2021-08-26,JSN,116
2021-08-26,MOD,446
2021-08-26,PFR,1365
2021-08-27,JSN,122
2021-08-27,MOD,544
2021-08-27,PFR,1391
2021-08-28,JSN,30
2021-08-28,MOD,147
2021-08-28,PFR,605
2021-08-29,JSN,11
2021-08-29,MOD,108
2021-08-29,PFR,339
2021-08-30,JSN,59
2021-08-30,MOD,386
2021-08-30,PFR,1026
2021-08-31,JSN,102
2021-08-31,MOD,458
2021-08-31,PFR,995
2021-09-01,JSN,79
2021-09-01,MOD,389
2021-09-01,PFR,1099
2021-09-02,JSN,47
2021-09-02,MOD,356
2021-09-02,PFR,999
2021-09-03,JSN,134
2021-09-03,MOD,497
2021-09-03,PFR,1319
2021-09-04,JSN,10
2021-09-04,MOD,150
2021-09-04,PFR,637
2021-09-05,JSN,9
2021-09-05,MOD,124
2021-09-05,PFR,350
2021-09-06,JSN,5
2021-09-06,MOD,78
2021-09-06,PFR,285
2021-09-07,JSN,113
2021-09-07,MOD,412
2021-09-07,PFR,1056
2021-09-08,JSN,91
2021-09-08,MOD,412
2021-09-08,PFR,1101
2021-09-09,JSN,89
2021-09-09,MOD,518
2021-09-09,PFR,1138
2021-09-10,ASZ,1
2021-09-10,JSN,129
2021-09-10,MOD,619
2021-09-10,PFR,1358
2021-09-11,JSN,14
2021-09-11,MOD,184
2021-09-11,PFR,553
2021-09-12,JSN,9
2021-09-12,MOD,112
2021-09-12,PFR,293
2021-09-13,ASZ,1
2021-09-13,JSN,69
2021-09-13,MOD,407
2021-09-13,PFR,903
2021-09-14,JSN,98
2021-09-14,MOD,326
2021-09-14,PFR,807
2021-09-15,JSN,58
2021-09-15,MOD,382
2021-09-15,PFR,1027
2021-09-16,JSN,71
2021-09-16,MOD,416
2021-09-16,PFR,948
2021-09-17,JSN,138
2021-09-17,MOD,471
2021-09-17,PFR,1364
2021-09-18,JSN,12
2021-09-18,MOD,168
2021-09-18,PFR,445
2021-09-19,JSN,19
2021-09-19,MOD,84
2021-09-19,PFR,284
2021-09-20,JSN,95
2021-09-20,MOD,359
2021-09-20,PFR,855
2021-09-21,ASZ,1
2021-09-21,JSN,102
2021-09-21,MOD,369
2021-09-21,PFR,773
2021-09-22,JSN,70
2021-09-22,MOD,337
2021-09-22,PFR,951
2021-09-23,JSN,90
2021-09-23,MOD,439
2021-09-23,PFR,1162
2021-09-24,ASZ,1
2021-09-24,JSN,120
2021-09-24,MOD,577
2021-09-24,PFR,2076
2021-09-25,JSN,32
2021-09-25,MOD,127
2021-09-25,PFR,1061
2021-09-26,JSN,15
2021-09-26,MOD,66
2021-09-26,PFR,638
2021-09-27,JSN,65
2021-09-27,MOD,330
2021-09-27,PFR,2065
2021-09-28,JSN,98
2021-09-28,MOD,372
2021-09-28,PFR,2243
2021-09-29,JSN,107
2021-09-29,MOD,377
2021-09-29,PFR,2666
2021-09-30,ASZ,1
2021-09-30,JSN,105
2021-09-30,MOD,416
2021-09-30,PFR,2587
2021-10-01,JSN,88
2021-10-01,MOD,477
2021-10-01,PFR,3789
2021-10-02,JSN,25
2021-10-02,MOD,164
2021-10-02,PFR,1490
2021-10-03,JSN,7
2021-10-03,MOD,65
2021-10-03,PFR,655
2021-10-04,JSN,83
2021-10-04,MOD,308
2021-10-04,PFR,1669
2021-10-05,JSN,95
2021-10-05,MOD,263
2021-10-05,PFR,1655
2021-10-06,JSN,80
2021-10-06,MOD,329
2021-10-06,PFR,2228
2021-10-07,JSN,101
2021-10-07,MOD,370
2021-10-07,PFR,2127
2021-10-08,JSN,111
2021-10-08,MOD,427
2021-10-08,PFR,3204
2021-10-09,JSN,21
2021-10-09,MOD,130
2021-10-09,PFR,1268
2021-10-10,JSN,8
2021-10-10,MOD,70
2021-10-10,PFR,479
2021-10-11,ASZ,1
2021-10-11,JSN,47
2021-10-11,MOD,272
2021-10-11,PFR,1410
2021-10-12,JSN,72
2021-10-12,MOD,264
2021-10-12,PFR,1504
2021-10-13,ASZ,1
2021-10-13,JSN,77
2021-10-13,MOD,285
2021-10-13,PFR,1770
2021-10-14,ASZ,1
2021-10-14,JSN,74
2021-10-14,MOD,370
2021-10-14,PFR,1918
2021-10-15,JSN,116
2021-10-15,MOD,450
2021-10-15,PFR,2019
2021-10-16,JSN,30
2021-10-16,MOD,123
2021-10-16,PFR,1028
2021-10-17,JSN,8
2021-10-17,MOD,77
2021-10-17,PFR,348
2021-10-18,JSN,68
2021-10-18,MOD,374
2021-10-18,PFR,1122
2021-10-19,JSN,67
2021-10-19,MOD,270
2021-10-19,PFR,1447
2021-10-20,JSN,78
2021-10-20,MOD,293
2021-10-20,PFR,1498
2021-10-21,JSN,81
2021-10-21,MOD,638
2021-10-21,PFR,1526
2021-10-22,JSN,104
2021-10-22,MOD,1840
2021-10-22,PFR,1741
2021-10-23,JSN,52
2021-10-23,MOD,1284
2021-10-23,PFR,784
2021-10-24,JSN,13
2021-10-24,MOD,568
2021-10-24,PFR,391
2021-10-25,JSN,94
2021-10-25,MOD,1966
2021-10-25,PFR,1012
2021-10-26,JSN,125
2021-10-26,MOD,2088
2021-10-26,PFR,1148
2021-10-27,JSN,140
2021-10-27,MOD,2226
2021-10-27,PFR,1445
2021-10-28,JSN,115
2021-10-28,MOD,2047
2021-10-28,PFR,1332
2021-10-29,JSN,132
2021-10-29,MOD,2674
2021-10-29,PFR,1856
2021-10-30,JSN,68
2021-10-30,MOD,1171
2021-10-30,PFR,654
2021-10-31,JSN,31
2021-10-31,MOD,378
2021-10-31,PFR,247
2021-11-01,JSN,141
2021-11-01,MOD,1495
2021-11-01,PFR,989
2021-11-02,JSN,131
2021-11-02,MOD,1461
2021-11-02,PFR,972
2021-11-03,JSN,147
2021-11-03,MOD,1954
2021-11-03,PFR,1787
2021-11-04,JSN,119
2021-11-04,MOD,1991
2021-11-04,PFR,2120
